detector,totalTime_s,arrivals_A,arrivalRate_alpha_veh_per_s,avgQueue_veh,maxQueue_veh,avgQueue_m,maxQueue_m,jamTimeRatio_proxy,meanTimeLoss_s_perVeh,totalHaltingWait_W_s,meanHaltingDelay_w_halt_s_perVeh,avgOccupancy,maxOccupancy,nVehSeen_total,nVehLeft_total,movement_group,cycle_C_s,green_g_s,capacity_beta_vehph_per_lane,saturation_rho
E_Left_1_E2,3856.0,82.0,0.0212655601659751,0.3654045643153527,2.0,1.933960062240664,13.85,0.7624481327800829,15.03438596491228,2125.0,25.914634146341463,7.781543355325165,20.0,114.0,82.0,WE_turning,130.0,62.0,715.3846153846155,0.10701378664168114
E_Right_1_E2,3856.0,50.0,0.0129668049792531,0.3438796680497925,2.0,1.723314315352697,12.56,0.8091286307053942,21.68371794871795,1865.0,37.3,6.922504086354758,20.0,78.0,50.0,WE_turning,130.0,62.0,715.3846153846155,0.06525230892785432
E_Thru_1_E2,3856.0,248.0,0.0643153526970954,0.9004149377593361,3.0,5.51341286307054,20.81,0.933609958506224,12.477207207207206,5348.0,21.56451612903226,15.797392140664854,40.0,333.0,248.0,WE_straight,130.0,55.0,634.6153846153846,0.36484345529988665
E_Thru_2_E2,3856.0,114.0,0.029564315352697,0.6011410788381742,3.0,3.5305186721991704,20.26,0.8402489626556017,17.30427672955975,3415.0,29.95614035087719,11.856985827585524,34.28,159.0,114.0,WE_straight,130.0,55.0,634.6153846153846,0.16771029800075388
N_Left_1_E2,3856.0,142.0,0.0368257261410788,0.6392634854771784,4.0,4.091229253112034,29.13,0.7468879668049793,15.204126984126985,3334.0,23.47887323943662,15.15825127242374,40.0,189.0,142.0,NS_turning,130.0,62.0,715.3846153846155,0.1853165573551062
N_Right_1_E2,3856.0,125.0,0.0324170124481327,4.2129149377593365,7.0,29.355409751037342,49.88,0.995850622406639,41.30136792452831,25327.0,202.616,47.24196819229559,67.15,424.0,125.0,NS_turning,130.0,62.0,715.3846153846155,0.16313077231963552
N_Thru_1_E2,3856.0,421.0,0.1091804979253112,1.7175829875518671,5.0,11.279426867219918,30.1,0.9491701244813278,13.45460595446585,10074.0,23.928741092636574,27.134827064465505,46.69,571.0,421.0,NS_straight,130.0,55.0,634.6153846153846,0.6193511882308562
N_Thru_2_E2,3856.0,110.0,0.0285269709543568,2.281639004149377,4.0,14.596117738589212,30.45,0.9802904564315352,33.72307142857143,11873.0,107.93636363636364,25.127247177466717,40.0,280.0,110.0,NS_straight,130.0,55.0,634.6153846153846,0.16182572614107857
S_Left_1_E2,3856.0,196.0,0.0508298755186722,0.8783713692946058,4.0,5.651532676348548,29.1,0.8402489626556017,14.918357142857143,4376.0,22.3265306122449,17.16130986763802,40.0,280.0,196.0,NS_turning,130.0,62.0,715.3846153846155,0.25578905099718907
S_Right_1_E2,3856.0,98.0,0.0254149377593361,1.0658713692946058,4.0,6.355593879668049,27.61,0.9491701244813278,25.980913978494623,6148.0,62.734693877551024,16.860084799987664,40.0,186.0,98.0,NS_turning,130.0,62.0,715.3846153846155,0.12789452549859454
S_Thru_1_E2,3856.0,536.0,0.1390041493775933,1.4520228215767634,5.0,9.54236255186722,30.1,0.933609958506224,10.523572496263078,7935.0,14.80410447761194,25.39972424296069,40.19,669.0,536.0,NS_straight,130.0,55.0,634.6153846153846,0.7885326291965293
S_Thru_2_E2,3856.0,230.0,0.0596473029045643,1.2030601659751037,4.0,7.864302385892116,28.83,0.9024896265560166,16.625386996904023,6636.0,28.85217391304348,21.693922323099837,40.0,323.0,230.0,NS_straight,130.0,55.0,634.6153846153846,0.33836288193134656
W_Left_1_E2,3856.0,106.0,0.0274896265560165,0.4862551867219917,2.0,2.710438278008299,13.84,0.8713692946058091,15.29921052631579,2840.0,26.79245283018868,9.553787282941776,30.0,152.0,106.0,WE_turning,130.0,62.0,715.3846153846155,0.13833489492705076
W_Right_1_E2,3856.0,118.0,0.0306016597510373,0.8555497925311203,3.0,5.011957987551868,21.36,0.933609958506224,22.06927835051546,4584.0,38.84745762711864,15.230181229361111,30.0,194.0,118.0,WE_turning,130.0,62.0,715.3846153846155,0.15399544906973608
W_Thru_1_E2,3856.0,385.0,0.0998443983402489,0.9919605809128632,4.0,6.172728215767635,28.82,0.9491701244813278,9.91307531380753,5896.0,15.314285714285717,17.538177655288628,40.0,478.0,385.0,WE_straight,130.0,55.0,634.6153846153846,0.5663900414937755
W_Thru_2_E2,3856.0,204.0,0.0529045643153526,0.6955394190871369,3.0,4.197953838174274,21.35,0.8402489626556017,12.52523076923077,3965.0,19.436274509803923,13.547245067578498,40.0,260.0,204.0,WE_straight,130.0,55.0,634.6153846153846,0.30011316484345474
